Alaska,188,650,34,1,,
Alabama,878,540,27,1,,
Arkansas,736,494,36,1,,
Arizona,296,482,25,286000,,
California,112,352,24,1859000,51,49
Colorado,440,366,25,234000,57,43
Connecticut,1152,240,20,1,,
Delware,1112,332,35,40000,58,42
Florida,1020,662,24,886000,52,48
Georgia,956,534,27,425000,57,43
Hawaii,464,760,30,59000,51,49
Iowa,714,294,27,1,,
Idaho,286,202,44,1,,
Illinois,810,336,28,1,,
Indiana,874,330,34,272000,62,38
Kansas,604,388,33,1,,
Kentucky,906,406,26,1,,
Louisiana,742,604,28,1,,
Massachusetts,1162,216,21,335000,57,43
Maryland,1076,324,20,1,,
Maine,1190,118,21,60000,56,44
Michigan,892,240,27,1,,
Minnesota,678,172,28,1,,
Montana,730,394,19,1,,
Missouri,812,548,26,1,,
Montana,388,122,19,1,,
North Carolina,1038,442,26,1,,
North Dakota,566,130,10,1,,
Nebraska,572,302,32,1,,
New Hampshire,1160,178,31,59000,55,45
New Jersey,1122,286,25,1,,
New Mexico,416,490,29,8500,55,45
Nevada,204,314,22,145000,53,47
New York,1082,214,22,913000,51,49
Ohio,944,320,30,1,,
Oklahoma,618,478,38,1,,
Oregon,148,172,23,207000,62,38
Pennsylvania,1046,288,37,1,,
Rhode Island,1178,234,19,44000,59,41
South Carolina,1012,502,30,1,,
South Dakota,572,218,29,1,,
Tennessee,882,458,29,1,,
Texas,582,598,29,1,,
Utah,308,342,40,1,,
Virginia,1058,378,26,1,,
Vermont,1134,172,23,30000,61,39
Washington,184,76,28,342000,63,37
Wisconsin,784,206,29,1,,
Virginia,992,356,26,1,,
Wyoming,414,250,28,1,,
