Alaska,188,650,626932
Alabama,878,540,4447100
Arkansas,736,494,2673400
Arizona,296,482,5130632
California,112,352,33871648
Colorado,440,366,4301261
Connecticut,1152,240,3405565
Delware,1112,332,783600
Florida,1020,662,15982378
Georgia,956,534,8186453
Hawaii,464,760,1211537
Iowa,714,294,2926324
Idaho,286,202,1293953
Illinois,810,336,12419293
Indiana,874,330,6080485
Kansas,604,388,2688418
Kentucky,906,406,4041769
Louisiana,742,604,4468976
Massachusetts,1162,216,6349097
Maryland,1076,324,5296486
Maine,1190,118,1274923
Michigan,892,240,9938444
Minnesota,678,172,4919479
Montana,730,394,5595211
Missouri,812,548,2844658
Montana,388,122,902195
North Carolina,1038,442,8049313
North Dakota,566,130,642200
Nebraska,572,302,1711263
New Hampshire,1160,178,1235786
New Jersey,1122,286,8414350
New Mexico,416,490,1819046
Nevada,204,314,1998257
New York,1082,214,18976457
Ohio,944,320,11353140
Oklahoma,618,478,3450654
Oregon,148,172,3421399
Pennsylvania,1046,288,12281054
Rhode Island,1178,234,1048319
South Carolina,1012,502,4012012
South Dakota,572,218,754844
Tennessee,882,458,5689283
Texas,582,598,20851820
Utah,308,342,2233169
Virginia,1058,378,7078515
Vermont,1134,172,608827
Washington,184,76,5894121
Wisconsin,784,206,5363675
Virginia,992,356,1808344
Wyoming,414,250,493782
